Date,Open,High,Low,Close,Adj Close,Volume
2019-02-12,0.269300,0.269800,0.265550,0.269300,0.269300,3131
2019-02-13,0.266350,0.269750,0.265600,0.266350,0.266350,2151
2019-02-14,0.267500,0.269000,0.259000,0.267500,0.267500,2285
2019-02-15,0.269400,0.270500,0.267500,0.269400,0.269400,4517
2019-02-17,null,null,null,null,null,null
2019-02-19,0.269750,0.270300,0.267050,0.269750,0.269750,3333
2019-02-20,0.269150,0.270800,0.266200,0.269150,0.269150,2346
2019-02-21,0.266450,0.268900,0.265050,0.266450,0.266450,2520
2019-02-22,0.267700,0.268200,0.262650,0.267700,0.267700,3462
2019-02-24,null,null,null,null,null,null
2019-02-25,0.267450,0.268800,0.266750,0.267450,0.267450,2802
2019-02-26,0.266500,0.267450,0.265550,0.266500,0.266500,11957
2019-02-27,0.268450,0.268650,0.266400,0.268450,0.268450,4934
2019-02-28,0.267500,0.269850,0.266100,0.267500,0.267500,6519
2019-03-01,0.264200,0.266900,0.263100,0.264200,0.264200,4256
2019-03-03,null,null,null,null,null,null
2019-03-04,0.264350,0.265550,0.263400,0.264350,0.264350,3509
2019-03-05,0.264550,0.265150,0.263550,0.264550,0.264550,147
2019-03-06,0.260500,0.264600,0.259700,0.260500,0.260500,1159
2019-03-07,0.256700,0.261500,0.255800,0.256700,0.256700,4571
2019-03-08,0.258100,0.259200,0.255800,0.258100,0.258100,7594
2019-03-10,null,null,null,null,null,null
2019-03-11,0.260050,0.260400,0.258150,0.260050,0.260050,5132
2019-03-12,0.262100,0.262650,0.259800,0.262100,0.262100,2145
2019-03-13,0.262050,0.263100,0.260300,0.262050,0.262050,4265
2019-03-14,0.259900,0.262050,0.259200,0.259900,0.259900,2408
2019-03-15,0.261900,0.262300,0.258100,0.261900,0.261900,1896
2019-03-17,null,null,null,null,null,null
2019-03-18,0.263700,0.264050,0.261100,0.263700,0.263700,3263
